,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
149,산동관,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_243%2F1441007087067lKbz8_JPEG%2F12048769_0.jpg,161,15,8.44
150,중앙곰탕,4.53,,140,75,8.63
151,콩쥐팥쥐,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180912_105%2F1536681830566zYaYj_JPEG%2Fty1ZWc3LCSQ_d7gzmfkWg3g6.jpg,212,13,8.67
152,본전집,4.27,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160727_62%2F1469616656671U7Yoa_JPEG%2F176677598075770_0.jpeg,71,3,8.37
153,카페일레븐,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180828_243%2F1535437063604wkx4Q_JPEG%2FwUKUxvlgwNYqBBsHDIs13YRD.jpg,100,13,8.59
154,화화촌,4.35,,18,6,8.45
155,세정,4.48,,457,514,9.01
156,청춘탕수육,4.48,,118,48,8.58
157,달토끼,4.23,,49,17,8.33
158,명동칼국수,4.43,,552,13,8.88
159,바모노스,4.71,,154,239,8.87
160,파리바게뜨 부산중앙역점,4.36,,644,3,8.88
161,비비비,,,42,17,
162,초가명품갈비,4.37,,67,32,8.47
163,THREE GATE,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191102_107%2F1572667118048OIIip_JPEG%2F0wIL7boKVx5BLKHl-QyKeCpc.jpg,150,41,8.58
164,시민카츠,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210225_248%2F1614257836300Q1gim_JPEG%2FCF9ZU96JnqvnDnCNQP2RcKu6.jpg,199,18,8.73
165,공향,4.2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160111_88%2F1452477324039DnXu7_JPEG%2F176054636776272_0.jpeg,140,8,8.3
166,명송초밥,4.12,,53,10,8.22
167,만리향,4.49,,240,19,8.73
168,무시로,3.87,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200919_224%2F1600446214482ve4ub_JPEG%2FCruy7rB5dN8mz9ek-5N-8MeC.jpg,40,25,7.97
169,페어런츠 커피&샐러드 중앙동점,4.31,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210712_25%2F1626051356157WfRWr_JPEG%2Fimage.jpg,101,19,8.41
170,원조부안집 부산깡통시장점,,,49,128,
171,파리바게뜨 중앙반도점,4.36,,871,5,8.95
172,대박맛집,3.75,,21,1,7.85
173,웰컴커피,4.76,,68,16,8.86
174,카페앨리스,4.03,,21,1,8.13
175,플러스고기,4.31,,86,295,8.47
176,깡통함박스테이크,4.47,,123,2,8.57
177,바삭칸,4.46,,66,5,8.56
178,기와집,4.6,,113,27,8.7
179,조방낙지중앙점,4.53,,105,16,8.63
180,다래분식,4.32,,166,28,8.42
181,웨이브 레스토랑,4.51,,88,59,8.61
182,댄싱컵 중앙동점,,,39,7,
183,위치커피 부산중앙역점,,,32,1,
184,냠냠숯불두마리치킨 중앙점,4.82,,21,6,8.92
185,이디야커피 부산중앙역점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_157%2F1608286215970a0JSl_JPEG%2FxBRBneDw4GnGoXMzpdHmNh8_.jpg,203,3,8.64
