,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
90,처갓집양념치킨 수정1호점,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200120_298%2F1579504110347tJgty_JPEG%2FC_lo6OmP2LbyOHVZh-W2FOtu.jpg,215,14,8.7
91,더브레드 수정점,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160316_258%2F1458094533418E6mIB_JPEG%2F176257528424718_0.jpeg,676,4,8.86
92,충무김밥원앙,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200428_161%2F158808008009877rNN_JPEG%2FgmveB7l_g5ZQXIOdORdTtTW0.jpg,412,19,8.8
93,조마루뼈다귀 수정점,4.26,,258,13,8.5
94,용꿈,4.32,,42,87,8.42
95,더바른식당 수정점,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210907_109%2F163101962738550rK2_JPEG%2FbBv-fRafFEnxCEb5ngiYIfmA.jpeg.jpg,112,5,8.67
96,복칼국수,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200630_44%2F1593506141294EKI0b_JPEG%2FGJtZfpR6-bOv-ef1f63Kdr8z.jpg,175,11,8.55
97,미식가의구이 부산진역점,4.66,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190330_195%2F1553915155439KPSyv_JPEG%2FMJmY-3e81fMUm5ArumBylp2v.jpeg.jpg,54,49,8.76
98,산청한방돼지국밥,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220102_291%2F1641090811505EfXhC_JPEG%2F20220102_110806.jpg,141,8,8.62
99,불막열삼 부산진역점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211022_115%2F1634878508562KlMNg_PNG%2F9V18zkOTPXNk6dKC7dOMUHBf.png,3,2,
100,청송얼음막걸리 진역점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200721_32%2F1595320617946dRYr0_JPEG%2FpPTcPGGr0KoACwU-NjcjQo3H.jpg,78,4,
101,가마치통닭 부산진역점,4.24,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210811_79%2F1628638544337Kn91Y_JPEG%2F7XfsukctF3pr9EaUu49Dm9Ot.jpg,126,2,8.34
102,롯데리아 부산진역점,4.41,,930,11,9
103,유지로 세스이,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200428_272%2F1588053159543NPnUv_JPEG%2FV2cAzyxkGvyMfi_Znqr2Xors.jpg,2,6,
104,카페051 부산진역점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200716_157%2F15948823341302FrfD_JPEG%2F4afaGSrg8RBjwhARF-2QJyTb.jpg,233,2,8.73
105,초량불닭발,,,4,1,
106,김가네,4.56,,66,5,8.66
107,수정쭈꾸미,4.26,,173,20,8.36
108,족 오향족발,,,5,13,
109,국화향기 전통찻집,4.53,,125,13,8.63
110,정선장횟집,4.32,,138,9,8.42
111,진사부,4.38,,169,11,8.48
112,수정사천수육,,,9,13,
