,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
152,집밥이좋다 광복점,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200327_218%2F1585280535562RpaJf_JPEG%2FOJsTFP9T2fU8qzONQxoLPhs3.jpg,62,17,8.44
153,하삼동커피 자갈치역점,4.69,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210712_29%2F1626063118336Xxvh0_JPEG%2FnwjrpMoDLldorKzWDuNBpGzG.jpg,59,1,8.79
154,앤티앤스 롯데백화점 광복점,4.51,,274,6,8.75
155,남해원조장어구이,4.45,,69,9,8.55
156,해남식당,4.36,,88,9,8.46
157,일성상회,4.45,,44,98,8.55
158,루흐,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211205_129%2F1638665036854ASbSW_JPEG%2F79C7D3AF-7C06-4D7C-8496-362F562ACB11.jpeg,443,548,9.16
159,풍원장 롯데광복점,4.5,,93,7,8.6
160,마실가게,4.5,,17,,
161,대양상회,4.54,,203,3,8.78
162,카페보니타,,,2,17,
163,양씨상회도매횟집,4.68,,48,54,8.78
164,제일돼지국밥,4.24,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190410_139%2F15548893199621VKY7_JPEG%2F18Tq4eSxw2V_t57zMLbbNrO6.jpg,83,43,8.34
165,참바다숯불꼼장어,3.13,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191106_170%2F1573049873686tJCiF_JPEG%2FwJc4UALkodWjhJfhXRq0dc41.JPG.jpg,43,45,7.23
166,일품면가,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190111_205%2F1547214802448JVgSo_JPEG%2FGltYggYRLuBipqM4ih0uwscy.jpg,88,6,8.63
167,경북대구횟집,,,2,46,
168,스타벅스 BIFF광장점,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,3813,104,9.18
169,갓포신,,,134,150,
170,카페드파리 부산롯데백화점광복점,4.31,,205,57,8.55
171,거제도집,5,,11,31,9.1
172,이대감숯불갈비,4.33,,141,13,8.43
173,거제횟집,4.46,,60,43,8.56
174,계림반점,4.53,,62,1,8.63
175,백화곱창7호,4.38,,23,29,8.48
176,하카다라멘,4.43,,311,173,8.74
177,고집파닭 남포점,4.77,,58,47,8.87
178,남해복국,3.88,,22,27,7.98
179,불타는양곱창,,,6,,
180,Chai797 Plus 롯데광복점,4.46,,403,71,8.84
181,대영상회,4.29,,84,104,8.39
182,삼미삼계탕,4.22,,84,6,8.32
183,다거도횟집,4.53,,87,3,8.63
184,푸드웨이브,4.47,,157,56,8.57
185,호남광주횟집,,,3,8,
186,맷돌손두부,4.39,,367,64,8.7
187,탑플로어,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211206_137%2F1638762221303ggS4i_JPEG%2F20201217_203100.jpg,476,303,9.1
188,명란명가,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190410_69%2F1554886711754NGyYi_JPEG%2F0Os61VvqqUBqHs2gRXYD5L-W.jpg,321,39,8.68
189,원유로 스페셜티 부산서구청점,4.73,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210705_207%2F1625450367082RWMUW_JPEG%2F795NwBX8xjc5Q1_kUDuQH8oe.jpg,82,1,8.83
190,면식가 롯데백화점광복점,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_107%2F1647850566040np6Cu_JPEG%2F1602169147914.jpg,164,11,8.6
191,부산횟집,4.3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191104_162%2F1572848930268Fqe3n_JPEG%2FiS9peH000RJfUZsLH3jOI0fi.JPG.jpg,145,1259,8.64
192,반반식당 광복점,4.54,,72,47,8.64
193,골목수제비,4.58,,51,7,8.68
194,동양상회,4.52,,61,4,8.62
195,버즈,,,1,,
196,랑데자뷰 남포점,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201103_34%2F1604379095620pxoOL_JPEG%2F-fHrjKBneV-Q3t7V80_h0Svz.jpeg.jpg,141,45,8.51
197,매일상회,4.15,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F%2F20170413_62%2F1492067529494FjAEG_JPEG%2F20170413_161147.jpg,29,1,8.25
198,회고찜,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210311_117%2F1615445676124BEzTN_JPEG%2FvqF8m2oRd6Rrh852d6E_KGkS.jpg,8,,
199,개미식당,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190120_153%2F1547979736986skaBX_JPEG%2FhE2toQwpae4H4--SiZY-xwFR.jpeg.jpg,13,,
